seq,event,pc,off,r0,r1,r2,r3,r4,r9,sp,lr,detail
1,begin_dense,0x86E5C,0x6E5C,0x2,0x2ACA14,0x2ACA0C,0x3,0x2A8264,0x280400,0x27F968,0x89C30,"post_wrapper_m1"
2,hit_17970,0x97970,0x17970,0x2,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x280400,0x27F978,0x89C30,"index_scale_entry"
3,fn_1d098_at_cmp,0x9D098,0x1D098,0x2ACA04,0x2ACA14,0x2ACA0C,0xC,0x2A8264,0x280400,0x27F9A0,0x89C30,"derived_ptr_check"
4,call_174c8,0x9D0DC,0x1D0DC,0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x280400,0x27F9A0,0x89C30,"pre_remove"
5,enter_174c8,0x974C8,0x174C8,0x2A8264,0x0,0x2ACA04,0xC,0x2A8264,0x280400,0x27F9A0,0x9D0E0,"container_ops"
6,ret_174c8,0x9D0E0,0x1D0E0,0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x280400,0x27F9A0,0x9D0E0,"post_remove"
7,sched_branch,0x9C41C,0x1C41C,0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x280400,0x27F9A0,0x9D0E0,"TAKEN ->0x9C56C"
8,enter_174c8,0x974C8,0x174C8,0x2A8264,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x280400,0x27F9D0,0x972CC,"container_ops"
9,helper_reenter,0x2E3098,0x0,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x682B8C,0x27FB48,0x80000,"gamelist_helper"
10,end_dense,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,"helper_reenter"
