seq,pc,off,addr,size,old,new,lr,sp,phase,kind,note,stack0,stack1,stack2,stack3
1,0x927A8,0x127A8,0x2AF904,4,0x0,0x400,0x2AF900,0x27F370,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
2,0x927A8,0x127A8,0x2AF8F8,4,0x0,0x810,0x2AF8F4,0x27F370,post_cf_map,seed_touch,"mod=cfunction.ext",0x0,0x200,0x0,0x0
3,0x9D07C,0x1D07C,0x2A826C,4,0x2A83EC,0x2A83BC,0x9C6F8,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x2ADDE4,0x2AF824
4,0x97914,0x17914,0x2A8278,4,0x2A84CC,0x2A84E4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x18,0x0,0x2A8264,0x18059
5,0x97928,0x17928,0x2A8270,4,0x2A83A4,0x2A83AC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x18,0x0,0x2A8264,0x18059
6,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x893C0,0x27FE10,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0xE2D,0x2A8264,0x2A83A4
7,0x97548,0x17548,0x2A8278,4,0x2A84E4,0x2A84CC,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x18059,0x2ADF7C,0x9D0E0
8,0x97554,0x17554,0x2A8270,4,0x2A83AC,0x2A83A4,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x18059,0x2ADF7C,0x9D0E0
9,0x975B4,0x175B4,0x2A826C,4,0x2A83C4,0x2A83A4,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x18059,0x2ADF7C,0x9D0E0
10,0x9D0EC,0x1D0EC,0x2A826C,4,0x2A83A4,0x2A83EC,0x9D0E0,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x2ADDE4,0x2AF824
11,0x9D07C,0x1D07C,0x2A826C,4,0x2A83EC,0x2A83AC,0x9C6F8,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x0,0x2AF85C
12,0x97914,0x17914,0x2A8278,4,0x2A84CC,0x2A84E4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
13,0x97928,0x17928,0x2A8270,4,0x2A83A4,0x2A83AC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
14,0xA516C,0x2516C,0x2A826C,4,0x2A83AC,0x2A83B4,0x98C7C,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x7F,0x2A8264,0x1,0x88994
15,0x96DE0,0x16DE0,0x2A8295,1,0x100,0x0,0xA5774,0x27FD98,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0xADE58,0x2ADF7C
16,0x96DEC,0x16DEC,0x2A826C,4,0x2A83B4,0x2A83BC,0xA5774,0x27FD98,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0xADE58,0x2ADF7C
17,0x96EC0,0x16EC0,0x2A826C,4,0x2A83BC,0x2A83B4,0xA5774,0x27FD98,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0xADE58,0x2ADF7C
18,0x96EC4,0x16EC4,0x2A8295,1,0x0,0x1,0xA5774,0x27FD98,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0xADE58,0x2ADF7C
19,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B924,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x7F,0x2A8264,0x1,0x2ADF7C
20,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x889B0,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
21,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA6908,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x889BC
22,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x280600
23,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x889E4,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
24,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA6908,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x889F0
25,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x280600
26,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88A10,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
27,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88A1C
28,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x280600
29,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88A3C,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
30,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA6908,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88A48
31,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x140
32,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88A68,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
33,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88A74
34,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x28028C,0x2A8264,0x1,0x10
35,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88AA8,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
36,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88AB4
37,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x10
38,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88AD4,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
39,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88AE0
40,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x10
41,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88B00,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
42,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA6908,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88B0C
43,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x10
44,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88B2C,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
45,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x1,0x88B38
46,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x28028C,0x2A8264,0x8,0x10
47,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88B6C,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
48,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x8,0x88B78
49,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
50,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88B98,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
51,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x88BA4
52,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x8,0x10
53,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88BC4,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
54,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x8,0x88BD0
55,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
56,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88BF0,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x8379C,0x2A8264,0x9B354
57,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x88BFC
58,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
59,0xA579C,0x2579C,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
60,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x88C28
61,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
62,0xA579C,0x2579C,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B924,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x10
63,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66D4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x10,0x88C54
64,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDEC
65,0xA579C,0x2579C,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDEC
66,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA6908,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x88CAC
67,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDF4
68,0xA579C,0x2579C,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B924,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDF4
69,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x88CD4
70,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDF4
71,0xA56E0,0x256E0,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x27FDF4
72,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDCC,0x88D00
73,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDDC,0x27FDF4
74,0xA56E0,0x256E0,0x2A826C,4,0x2A83BC,0x2A83C4,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDDC,0x27FDF4
75,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x27FDDC,0x88D2C
76,0xA579C,0x2579C,0x2A826C,4,0x2A83B4,0x2A83BC,0x9B980,0x27FDB0,during_opcode,object_field,"mod=cfunction.ext",0x0,0x2A8264,0x6065C76,0x27FDF4
77,0xA571C,0x2571C,0x2A826C,4,0x2A83BC,0x2A83C4,0x88D48,0x27FDC8,during_opcode,object_field,"mod=cfunction.ext",0xD05D4,0x30343638,0x34303638,0x32323630
78,0xA5900,0x25900,0x2A826C,4,0x2A83C4,0x2A83B4,0xA66B4,0x27FDB8,during_opcode,object_field,"mod=cfunction.ext",0x3,0x2A8264,0x6065C76,0x88D54
79,0x97548,0x17548,0x2A8278,4,0x2A84E4,0x2A84CC,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x8099,0x2ADF7C,0x9D0E0
80,0x97554,0x17554,0x2A8270,4,0x2A83AC,0x2A83A4,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x8099,0x2ADF7C,0x9D0E0
81,0x975B4,0x175B4,0x2A826C,4,0x2A83B4,0x2A83AC,0x9D0E0,0x27FE48,during_opcode,object_field,"mod=cfunction.ext",0x2A8264,0x8099,0x2ADF7C,0x9D0E0
82,0x9D0EC,0x1D0EC,0x2A826C,4,0x2A83AC,0x2A83EC,0x9D0E0,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x0,0x2AF85C
83,0x9D07C,0x1D07C,0x2A826C,4,0x2A83EC,0x2A83AC,0x9C6F8,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x0,0x2AF868
84,0x97878,0x17878,0x2A8278,4,0x2A84CC,0x2A84E4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
85,0x9788C,0x1788C,0x2A8270,4,0x2A83A4,0x2A83AC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
86,0x978C4,0x178C4,0x2A826C,4,0x2A83AC,0x2A83B4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
87,0x978C4,0x178C4,0x2A826C,4,0x2A83B4,0x2A83BC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
88,0x978C4,0x178C4,0x2A826C,4,0x2A83BC,0x2A83C4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
89,0x978C4,0x178C4,0x2A826C,4,0x2A83C4,0x2A83CC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
90,0x978E0,0x178E0,0x2A826C,4,0x2A83CC,0x2A83CC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x8099
91,0x9D07C,0x1D07C,0x2A826C,4,0x2A83CC,0x2A83C4,0x9C6F8,0x27FE58,during_opcode,object_field,"mod=cfunction.ext",0x3D,0x2A8264,0x0,0x2AF04C
92,0x97914,0x17914,0x2A8278,4,0x2A84E4,0x2A84FC,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x18099
93,0x97928,0x17928,0x2A8270,4,0x2A83AC,0x2A83B4,0x9D098,0x27FE30,during_opcode,object_field,"mod=cfunction.ext",0x2A83A4,0x9DAA8,0x2A8264,0x18099
94,0x92CE0,0x12CE0,0x28065C,4,0x801A,0x801B,0x92FE4,0x27F718,during_opcode,exact_opcode_word,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
95,0x92E6C,0x12E6C,0x28065C,4,0x801B,0x801C,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
96,0x92F54,0x12F54,0x28065C,4,0x801C,0x801D,0x2D,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
97,0x92CE0,0x12CE0,0x28065C,4,0x801D,0x801E,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
98,0x92CE0,0x12CE0,0x28065C,4,0x801E,0x801F,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
99,0x92CE0,0x12CE0,0x28065C,4,0x801F,0x8020,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
100,0x92CE0,0x12CE0,0x28065C,4,0x8020,0x8021,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
101,0x92E6C,0x12E6C,0x28065C,4,0x8021,0x8022,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
102,0x92CE0,0x12CE0,0x28065C,4,0x8022,0x8023,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
103,0x92CE0,0x12CE0,0x28065C,4,0x8023,0x8024,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
104,0x92CE0,0x12CE0,0x28065C,4,0x8024,0x8025,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
105,0x92F54,0x12F54,0x28065C,4,0x8025,0x8026,0x11,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
106,0x92CE0,0x12CE0,0x28065C,4,0x8026,0x8027,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
107,0x92E6C,0x12E6C,0x28065C,4,0x8027,0x8028,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
108,0x92CE0,0x12CE0,0x28065C,4,0x8028,0x8029,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
109,0x92CE0,0x12CE0,0x28065C,4,0x8029,0x802A,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
110,0x92E6C,0x12E6C,0x28065C,4,0x802A,0x802B,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
111,0x92CE0,0x12CE0,0x28065C,4,0x802B,0x802C,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
112,0x92D68,0x12D68,0x28065C,4,0x802C,0x802D,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
113,0x92CE0,0x12CE0,0x28065C,4,0x802D,0x802E,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
114,0x92CE0,0x12CE0,0x28065C,4,0x802E,0x802F,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
115,0x92CE0,0x12CE0,0x28065C,4,0x802F,0x8030,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
116,0x92CE0,0x12CE0,0x28065C,4,0x8030,0x8031,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
117,0x92CE0,0x12CE0,0x28065C,4,0x8031,0x8032,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
118,0x92CE0,0x12CE0,0x28065C,4,0x8032,0x8033,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
119,0x92CE0,0x12CE0,0x28065C,4,0x8033,0x8034,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
120,0x92E6C,0x12E6C,0x28065C,4,0x8034,0x8035,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
121,0x92CE0,0x12CE0,0x28065C,4,0x8035,0x8036,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
122,0x92CE0,0x12CE0,0x28065C,4,0x8036,0x8037,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
123,0x92CE0,0x12CE0,0x28065C,4,0x8037,0x8038,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
124,0x92CE0,0x12CE0,0x28065C,4,0x8038,0x8039,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
125,0x92CE0,0x12CE0,0x28065C,4,0x8039,0x803A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
126,0x92D68,0x12D68,0x28065C,4,0x803A,0x803B,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
127,0x92CE0,0x12CE0,0x28065C,4,0x803B,0x803C,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
128,0x92CE0,0x12CE0,0x28065C,4,0x803C,0x803D,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
129,0x92CE0,0x12CE0,0x28065C,4,0x803D,0x803E,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
130,0x92F54,0x12F54,0x28065C,4,0x803E,0x803F,0xB,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
131,0x92CE0,0x12CE0,0x28065C,4,0x803F,0x8040,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
132,0x92CE0,0x12CE0,0x28065C,4,0x8040,0x8041,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
133,0x92CE0,0x12CE0,0x28065C,4,0x8041,0x8042,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
134,0x92CE0,0x12CE0,0x28065C,4,0x8042,0x8043,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
135,0x92E6C,0x12E6C,0x28065C,4,0x8043,0x8044,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
136,0x92CE0,0x12CE0,0x28065C,4,0x8044,0x8045,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
137,0x92CE0,0x12CE0,0x28065C,4,0x8045,0x8046,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
138,0x92E6C,0x12E6C,0x28065C,4,0x8046,0x8047,0x2AF924,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
139,0x92CE0,0x12CE0,0x28065C,4,0x8047,0x8048,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
140,0x92CE0,0x12CE0,0x28065C,4,0x8048,0x8049,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
141,0x92CE0,0x12CE0,0x28065C,4,0x8049,0x804A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
142,0x92CE0,0x12CE0,0x28065C,4,0x804A,0x804B,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
143,0x92CE0,0x12CE0,0x28065C,4,0x804B,0x804C,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
144,0x92CE0,0x12CE0,0x28065C,4,0x804C,0x804D,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
